event_time,applications_last_24h,is_new_device,identity_match_score,device_account_count,payment_account_count,ip_risk_score,fraud_label
2026-01-01T00:00:00+00:00,0,0,0.858,2,2,0.14,0
2026-01-01T01:00:00+00:00,8,1,0.498,4,1,0.03,1
2026-01-01T02:00:00+00:00,8,1,0.781,5,2,0.716,1
2026-01-01T03:00:00+00:00,6,0,0.571,5,3,0.809,1
2026-01-01T04:00:00+00:00,2,1,0.834,3,3,0.155,0
2026-01-01T05:00:00+00:00,5,0,0.506,4,1,0.359,1
2026-01-01T06:00:00+00:00,4,0,0.894,6,4,0.536,1
2026-01-01T07:00:00+00:00,6,0,0.493,3,5,0.885,1
2026-01-01T08:00:00+00:00,3,0,0.838,1,2,0.773,0
2026-01-01T09:00:00+00:00,3,0,0.927,4,3,0.453,1
2026-01-01T10:00:00+00:00,2,0,0.654,2,3,0.702,0
2026-01-01T11:00:00+00:00,1,0,0.785,2,5,0.729,1
2026-01-01T12:00:00+00:00,6,1,0.598,6,5,0.22,1
2026-01-01T13:00:00+00:00,0,0,0.576,1,3,0.401,0
2026-01-01T14:00:00+00:00,5,1,0.567,4,4,0.885,1
2026-01-01T15:00:00+00:00,2,0,0.596,2,5,0.539,1
2026-01-01T16:00:00+00:00,6,0,0.944,4,3,0.219,1
2026-01-01T17:00:00+00:00,8,0,0.721,1,1,0.153,1
2026-01-01T18:00:00+00:00,6,1,0.778,4,4,0.596,1
2026-01-01T19:00:00+00:00,4,0,0.984,1,1,0.682,0
2026-01-01T20:00:00+00:00,4,0,0.873,3,1,0.294,0
2026-01-01T21:00:00+00:00,0,1,0.975,6,3,0.972,1
2026-01-01T22:00:00+00:00,8,0,0.952,6,3,0.842,1
2026-01-01T23:00:00+00:00,3,0,0.534,2,5,0.953,1
2026-01-02T00:00:00+00:00,0,0,0.779,4,1,0.112,1
2026-01-02T01:00:00+00:00,4,0,0.582,2,5,0.947,1
2026-01-02T02:00:00+00:00,7,1,0.899,5,2,0.128,1
2026-01-02T03:00:00+00:00,8,0,0.541,5,5,0.423,1
2026-01-02T04:00:00+00:00,8,1,0.865,6,2,0.713,1
2026-01-02T05:00:00+00:00,5,0,0.691,5,4,0.121,1
2026-01-02T06:00:00+00:00,5,1,0.462,5,2,0.588,1
2026-01-02T07:00:00+00:00,0,1,0.576,1,3,0.071,1
2026-01-02T08:00:00+00:00,7,1,0.568,2,5,0.576,1
2026-01-02T09:00:00+00:00,7,1,0.894,2,1,0.097,1
2026-01-02T10:00:00+00:00,6,0,0.676,6,1,0.673,1
2026-01-02T11:00:00+00:00,1,0,0.483,6,3,0.801,1
2026-01-02T12:00:00+00:00,3,1,0.555,4,2,0.422,1
2026-01-02T13:00:00+00:00,3,0,0.931,1,4,0.808,1
2026-01-02T14:00:00+00:00,1,0,0.478,5,1,0.969,1
2026-01-02T15:00:00+00:00,3,0,0.541,4,4,0.214,1
2026-01-02T16:00:00+00:00,0,0,0.541,1,4,0.265,1
2026-01-02T17:00:00+00:00,7,0,0.607,6,5,0.662,1
2026-01-02T18:00:00+00:00,3,0,0.613,1,5,0.736,1
2026-01-02T19:00:00+00:00,5,1,0.481,5,4,0.503,1
2026-01-02T20:00:00+00:00,2,0,0.481,5,1,0.851,1
2026-01-02T21:00:00+00:00,1,1,0.821,2,4,0.12,1
2026-01-02T22:00:00+00:00,3,0,0.768,1,5,0.082,1
2026-01-02T23:00:00+00:00,8,0,0.624,3,2,0.67,1
2026-01-03T00:00:00+00:00,4,0,0.668,6,3,0.457,1
2026-01-03T01:00:00+00:00,1,0,0.455,5,5,0.996,1
2026-01-03T02:00:00+00:00,3,1,0.728,2,3,0.881,1
2026-01-03T03:00:00+00:00,5,0,0.607,4,5,0.704,1
2026-01-03T04:00:00+00:00,8,0,0.454,5,3,0.932,1
2026-01-03T05:00:00+00:00,2,1,0.595,1,5,0.155,1
2026-01-03T06:00:00+00:00,3,0,0.845,2,3,0.505,0
2026-01-03T07:00:00+00:00,0,0,0.501,4,3,0.044,1
2026-01-03T08:00:00+00:00,2,0,0.8,3,2,0.741,0
2026-01-03T09:00:00+00:00,6,0,0.758,1,1,0.945,1
2026-01-03T10:00:00+00:00,2,0,0.75,3,5,0.553,1
2026-01-03T11:00:00+00:00,0,0,0.62,1,3,0.21,0
2026-01-03T12:00:00+00:00,1,1,0.645,5,4,0.974,1
2026-01-03T13:00:00+00:00,3,0,0.926,2,4,0.025,1
2026-01-03T14:00:00+00:00,5,0,0.88,4,2,0.267,1
2026-01-03T15:00:00+00:00,1,0,0.66,1,4,0.222,1
2026-01-03T16:00:00+00:00,7,0,0.642,2,2,0.024,1
2026-01-03T17:00:00+00:00,5,1,0.603,1,3,0.351,1
2026-01-03T18:00:00+00:00,8,0,0.632,1,1,0.877,1
2026-01-03T19:00:00+00:00,4,0,0.471,5,4,0.346,1
2026-01-03T20:00:00+00:00,6,0,0.783,5,1,0.385,1
2026-01-03T21:00:00+00:00,4,0,0.474,4,1,0.52,1
2026-01-03T22:00:00+00:00,3,0,0.65,1,3,0.623,0
2026-01-03T23:00:00+00:00,1,0,0.846,3,5,0.309,1
2026-01-04T00:00:00+00:00,6,0,0.833,5,2,0.192,1
2026-01-04T01:00:00+00:00,6,0,0.823,2,5,0.569,1
2026-01-04T02:00:00+00:00,0,0,0.617,2,4,0.786,1
2026-01-04T03:00:00+00:00,5,0,0.706,4,2,0.511,1
2026-01-04T04:00:00+00:00,2,0,0.812,3,5,0.664,1
2026-01-04T05:00:00+00:00,1,0,0.9,2,3,0.225,0
2026-01-04T06:00:00+00:00,0,1,0.475,4,5,0.85,1
2026-01-04T07:00:00+00:00,6,1,0.937,5,2,0.718,1
2026-01-04T08:00:00+00:00,6,0,0.584,6,1,0.893,1
2026-01-04T09:00:00+00:00,1,0,0.878,2,2,0.804,0
2026-01-04T10:00:00+00:00,7,0,0.478,2,1,0.456,1
2026-01-04T11:00:00+00:00,8,0,0.993,5,3,0.95,1
2026-01-04T12:00:00+00:00,8,0,0.685,5,4,0.897,1
2026-01-04T13:00:00+00:00,7,0,0.698,2,3,0.766,1
2026-01-04T14:00:00+00:00,3,0,0.601,1,3,0.234,0
2026-01-04T15:00:00+00:00,8,0,0.494,2,2,0.383,1
2026-01-04T16:00:00+00:00,3,1,0.485,4,3,0.543,1
2026-01-04T17:00:00+00:00,3,0,0.908,4,5,0.946,1
2026-01-04T18:00:00+00:00,6,1,0.712,3,3,0.753,1
